How do you communicate with the committee members of your residential community and why?,How do you communicate with the committee members of your residential community and why?_Sentiment,Why do you participate/not participate in the activities organised by your residential community?,Why do you participate/not participate in the activities organised by your residential community?_Sentiment,"When visiting a residential community that requires registration at the guard house, how do you feel about it and why do you feel that way?","When visiting a residential community that requires registration at the guard house, how do you feel about it and why do you feel that way?_Sentiment"
Through Whatsapp to submit complaints/reports/requests,Neutral,I am not available at the time of the event,Neutral,A little annoyed because it takes time to register and sign in,Negative
"Via Whatsapp for matters relating to security,  garbage collection,  water problems etc",Neutral,To get to know what's going on ,Neutral,Take time to give detaila like IC,Neutral
Through whatsapp,Neutral,Foster a good relationship with neighbours,Positive,A little troublesome because you need to take time to register (albeit understandable for security reasons),Neutral
Mailbox letter. Just informing of things,Neutral,No such events ,Neutral,Annoying but understanding,Neutral
Whatsapp to submit complaints,Neutral,Lazy,Negative,Annoying but necessary ,Neutral
Through whatsapp or call directly to community office ,Neutral,"I participate to get to know my residential community better especially to gain trust and build rapport. Its important because we can help keep watch of each other should there be any occurence of break ins or theft. If I dont participate, main reason is due to laziness xD",Positive,"Naturally, I would feel that it is a relatively safe neighbourhood simply due to the guards being strict. If anything were to happen, say a break in, they would have relevant information about it.",Positive
Facebook WhatsApp - report ,Neutral,Too lazy,Negative,Secure,Positive
Through FB for looking at notices by the management ,Neutral,Busy with assignments ,Neutral,I feel it is a essential because it keeps our community safe,Positive
"Through WhatsApp to submit request, and pay utility ",Neutral,I only join when I'm interested in the event itself,Neutral,Strict but safe,Neutral
"Whatsapp, meeting in person at the management office for complaints, bills etc",Neutral,"Depending on the activity, but mostly to get to know the neighbours ",Neutral,Its important to keep track of visitors for security and Covid tings,Positive
"Through the management, noice complaint and the likes ",Neutral,Free food most of the time,Neutral,"Neutral, it is what it is",Neutral
Through WhatsApp to submit requests and complaints ,Neutral,too busy,Neutral,Good,Positive
we don't have committee members for my residential community,Neutral,Never had before,Neutral,"Some registration are not strict, felt useless for the extra guarding",Negative
I never had to either,Neutral,I have no interest in expending my energy in other people that do not hold my interest,Negative,I am okay with it. It provides me with a false sense of security when Iam not thinking about it,Neutral
"Phone call, regards to security matters ",Neutral,Participant to understand any new programs in plans within the community,Neutral,"Feel safe, can avoid risk of robbery ",Positive
WA,Neutral,Depending on relevance. ,Neutral,It's OK since it's for security reason. ,Neutral
Phone,Neutral,For the goodness of our residential area,Positive,Secured ,Positive
Whatsapps/ Call ,Neutral,"Liked the program, ",Positive,Just fill according to requirements. Feel ok. ,Neutral
Whatsapp to complaint,Neutral,Make friends,Positive,Very common. Its a very common procedure for security guard to do.so,Neutral
Through WhatsApp to submit complaints,Neutral,I participate when the time permits,Neutral,Ok,Neutral
Email and whatsapp,Neutral,For fun,Positive,Hassle,Negative
Through email and WhatsApp community group. ,Neutral,Get to know your neighbourhood and communicate harmony. ,Neutral,Happy with it.Helping with with it's security. ,Positive
Usually via WhatsApp to place orders or feedback,Neutral,Didnt join due to timing not right for me,Neutral,I find it necessary for the seek of safety and security of the community,Positive
