What is your opinion about the election?,What is your opinion about the election?_Sentiment
modi for youth progress and all young ppl support modiji had bar modi sarkar ,Positive
hmm and send likes nirav modi away,Neutral
her hubbys money laundry out order since modi came power that woman has been unemployed indv since all these 55yrs jobless even when her mom was the sorry,Negative
modi cannot fool people with such theatrics did not acknowledge the people behind this all did was try take credit this achievement,Negative
agree that this blatant misuse and must act but wonder these paper cups will convince people who were not going vote for him ooh here modis main bhi chowkidaar cup think will change mind and vote for him now ,Negative
didnt ask proof ohh election near right must careful right now modi can track activity bangkok from setelight suggestionburkha pehen lena,Positive
someonemodi wants make india powercountry the world map and someone rahul gandhi wants fulfill his childhood dream becoming choice ours between country and someone’ illogical and not achievable dream ,Positive
modi criticised going for early elections now the question that who has permitted him ,Positive
people who ask what has modi done for individual tell them about inflation and ask them when was the last time you shoutedcussed the government because the prices vegetablesfruits increased and they start changing the topic discussion,Neutral
"congratulations modi finally saved all his counterparts
nirav modi saved vijay malya saved sushil modi saved amit sah saved mehul saved moral the story loot the country and run away modi will save you",Neutral
modi one man who took decisions his niyat judge,Neutral
whats your name katrina kaif indian crowd wow intellectual lefties etc modi blame indians said wow ,Positive
ease living becoming reality the lives millions indians under the strong leadership narendra modi ,Positive
modi will out with his partner crime tadipar some indians are fools bhakts chowkidar but not all they know now that out destroy everything ,Negative
happy watch namo that highlights the achievement the government ,Positive
"not single muslim will vote for modi
",Positive
truth modi sarkar like that only yale university has been forgotten don’ ask about the ’ degrees they are national secret ,Negative
"india the heartcare foundation india hcfi has written prime minister narendra modi encourage promote vaping products alternative combustible tobacco products like cigarettes which are more harmful nature than vaping products
",Positive
"people know about the truth
and know about our modi",Neutral
mam you forgot criticise modi for this kindly add his name and defame him,Positive
the story common man who became leader april 2NeutralPositive9 arab fans are ready for ,Negative
modi already doing through direct benefits transfer and farm income support idea wasnt invented rahul,Positive
cong antifarmer congress put charan singh and chotu ram jail chotu ram statue bjp fulfills charan singhs dream satark jagruk rehena hai bachpan sun tha garibi hatao cong hatao garibi apne aap hat jayegi modi merrut,Negative
"amit shah calls manmohan singh dumb saint says modi nothing like him
",Negative
truth there was modi these chaps would have never seen ministers chair they owe him hence the obedience,Neutral
but last years nothing was done drdo isro why all this happen during modi era have all the companies but nothing made them like have hal but are not making aircraft but modi istransfer technology india that can also make india,Neutral
help his crony friend modi has not only deprived hal has deprived the youths karnataka ,Neutral
narendra modi kicksoff bjps campaign samajwadi party chief akhilesh yadav weighs the ruling partys history the crucial state uttar pradesh ,Neutral
fugitive again denied bail uks westminster magistrates court ,Neutral
modi the credit taker blame runner,Neutral
aisha maiden name hema malini one among the few muslim converts the modi camp ,Negative
modi lined for the same next election ,Neutral
sir looking dashing modi beard,Neutral
bhakts would say modi,Neutral
saint and got eulogised the liberals same with parrikar who product said that marched for ayodhya for the same reason mmjoshi gurudev greatly respected and was getting piche against modi only becoz was unceromoniusly routed modi and can contender him,Positive
modi jiplease give the statement saying that your winning modi winning modi winning bharath matha winning and this winning are all chowkidars for our janmhabhumi,Positive
surgical strike modi has not done airstrike modi has not done asat missile modi has not done but raids modi has done avare why you people are afraid you not done scams and corruption ,Negative
"priyanka gandhi lies about mgnrega target the modi government here are the facts
ां्ेााा2NeutralPositive9चुा ",Neutral
maharashtra congress releases booklet listing ‘PositiveNeutralNeutral mistakes’ modi ,Neutral
"big criminal india narender modi and amit shah involved big crime godhrakad harinpadya muder duplicate encounters any many more national crime involved
jay hind jay bharat ",Positive
"not modi fan but strictly against congress its pariwarwad
currently indians not have any strong third option till the third option except akhilesh mamata mayawati educated people arrives must vote modi its truth",Positive
hey didnt subscribe any such channels content this channels broadcasting speeches modi only please take note dont think this against model code conduct election ,Neutral
congress hatao gareebi apne aap hatt jayegi modi’ frontal attack congress meerut ⁦ ⁦ ⁦ ⁦ ,Neutral
prime minister modi taking the fresh stance now start his second innings thanks,Positive
people are disappointed that modi didnt keep his promise now they are not believing any one josh,Negative
the modi wave effect mahathagbandhan ,Neutral
but you dont blame punjab government which lead scamgress reason they feed pseudo liberals from ages and will never talk over them imagine the same thing happened bjp ruled statethey would have blamed modi directly shameless,Positive
recently friend told how her teenage son disagrees with anything she sayseven when admits doesnt know whyits just rebellious thingysame thingy for you and modi govt times you wont even know why you cant feel happy about things,Positive
"transparency international corruption index 2NeutralPositive8
25bhutan
78india
this the corruption rating modi government",Neutral
good way get applause from public drdo establishment made congress there 7Neutralyearswhich modi remained asking what congress did for years nehru established,Positive
